Randomint,los,firstvalue,mc_insig,mc_humil,sig_los,mc_worth,mc_purpose,marr_value,marr_fusion,attn_check_1,marr_ss_total,marr_act,marr_rad,abor_value,abor_fusion,attn_check2,abor_ss_total,abor_act,abor_rad,age,sex,race_ethni,race_ethni_TEXT,sex_orient,educ,reli,poli,poli_importance
4953,0,A,1,1,1,5,5,1,2,4,3.8,1,2.5,1,3,4,3.8,1,2.5,26,1,4,,2,6,4,2,15
5181,0,A,1,1,1,5,6,1,2,4,4.5,1,1,1,3,4,4.5,1,1,30,2,4,,2,6,1,4,9
2311,1,A,4,4,4,7,6,1,6,4,3.9,7,2.75,1,6,4,4.2,7,2.5,25,2,4,,2,4,7,1,15
3372,1,M,3,2,2.5,6,5,1,2,4,3.9,1,1,2,4,4,2.9,4.5,3,43,2,4,,2,4,5,5,13
5199,0,M,4,1,2.5,4,4,1,1,4,4.2,1.75,1.25,1,1,4,3.7,1.75,1.5,26,1,4,,2,4,5,1,14
5420,1,M,1,1,1,7,7,2,6,4,3.3,1,1,1,6,4,4,7,5.5,23,2,4,,2,6,1,2,14
3888,0,A,2,2,2,6,5,2,2,4,2.5,1.25,1,1,4,4,4.2,2.75,3.25,40,1,4,,2,6,1,2,13
3839,1,A,3,5,4,4,5,1,5,4,4.6,6.25,4,1,6,4,4.5,6.25,4,37,2,6,,2,7,5,2,13
3025,0,M,2,1,1.5,3,2,1,2,4,3.6,3.5,2.75,1,3,4,3.9,5,3,38,1,4,,2,6,4,3,14
2111,0,M,5,1,3,4,4,1,4,4,4,1.75,2.75,1,3,4,4,1.5,2.75,34,1,4,,2,6,1,2,13
2234,0,A,4,5,4.5,3,4,1,3,4,3.5,3.25,3.75,1,6,4,3.9,4.5,4.25,20,1,4,,2,4,1,4,12
5658,1,M,6,6,6,2,2,1,6,4,4.7,7,7,1,4,4,4.1,7,7,29,1,4,,3,6,1,2,13
4785,0,A,1,1,1,7,5,1,6,4,4.2,3.25,4.5,1,6,4,3.8,5,2.75,31,1,2,,2,6,1,3,12
5530,0,A,1,2,1.5,1,1,1,2,4,5.4,4,4.25,1,5,4,3.3,3.75,2,28,1,2,,2,6,5,4,12
1540,0,M,2,2,2,4,4,1,3,4,3.7,2,2,1,4,4,3.3,4.5,2.25,55,1,4,,2,6,4,2,14
3545,1,A,3,7,5,5,1,1,1,4,3.8,3.25,3.75,1,3,4,3.1,1.25,1.5,36,1,4,,2,5,1,1,13
1712,1,M,2,3,2.5,2,2,1,6,4,4.5,7,6.25,1,6,4,3.9,6.25,4.5,22,2,4,,1,3,3,3,14
3691,0,A,4,7,5.5,7,7,1,6,4,4.6,3.5,1,1,6,4,4.4,6.25,2.25,47,1,4,,2,6,1,2,15
3525,0,M,2,1,1.5,5,2,1,4,4,2.5,6,2.5,1,3,4,2.8,6,2.5,24,2,4,,2,7,1,2,14
2823,0,M,1,1,1,5,1,1,6,4,3.6,3.5,1.5,1,6,4,4.6,4.5,1,39,1,4,,2,3,1,2,14
2501,1,A,6,6,6,2,2,1,3,4,3.5,1,1,1,3,4,3.5,1,1,26,1,3,,2,6,1,4,9
3625,0,M,6,1,3.5,6,6,1,5,4,4.7,3,1,1,6,4,4.5,2.25,1,34,1,3,,2,7,2,4,15
1046,0,A,5,2,3.5,4,6,1,5,4,4.4,4.75,2,1,2,4,4.2,4.5,2,25,2,4,,2,6,2,5,13
1630,0,A,2,1,1.5,5,5,1,2,4,3.5,1,1,1,2,4,3.2,1,1,24,2,4,,2,6,3,5,13
2641,0,M,1,1,1,7,6,2,6,4,4.4,5.75,3.75,2,6,4,4.4,6,4.75,50,2,4,,2,6,7,6,15
3734,0,A,3,3,3,3,3,1,4,4,3.5,3.75,2.25,1,6,4,3.4,3.25,3.75,23,2,2,,2,6,6,2,11
5537,0,M,4,1,2.5,5,4,1,3,4,2.7,4,2,1,4,4,3.8,3.75,2.25,37,1,4,,2,4,4,3,12
5397,0,M,1,3,2,4,3,1,5,4,4.2,7,6.25,1,6,4,4,7,6.75,27,2,4,,2,7,2,1,15
2739,0,A,1,1,1,3,2,1,2,4,2.2,1,1,2,6,4,4.3,7,7,23,1,6,,2,2,1,4,12
2549,1,M,1,7,4,1,2,1,1,4,4,2,2.25,1,2,4,3.2,2,2.5,44,1,8,Native American,2,7,4,4,14
